"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"Intensity_LowerQuartileIntensity_Rhodamine",49,5710,0.00784161480509834,0.00384437492132137,0.00694285519421101,0.00725657278794698,0.00289574730992317,0.00318913557566702,0.0364385433495045,0.0332494077738375,2.10207697004073,6.90867670395162,5.08753817882372e-05
"Intensity_MADIntensity_Rhodamine",50,5710,0.00149203704063733,0.00173304649204366,0.000926985638216138,0.00116060260324878,0.000904921034350991,0,0.017624169588089,0.017624169588089,3.04897317779729,14.2954629453681,2.29346522500936e-05
"Intensity_MassDisplacement_Rhodamine",51,5710,1.62602111742716,1.72295176934101,1.12630563589158,1.32784297319349,1.0621361308079,0.0015475425108674,19.2582132054865,19.2566656629756,3.26327605160382,18.6826308994219,0.0228010615150444
"Intensity_MaxIntensityEdge_Rhodamine",52,5710,0.0072412264070534,0.00284774938994895,0.00663004512898624,0.00688444121649828,0.00240935173616745,0.0032501716632396,0.0442664213478565,0.0410162496846169,1.89460483233545,9.06003082338013,3.7686318430429e-05
"Intensity_MaxIntensity_Rhodamine",53,5710,0.0158129031309571,0.0114779031762653,0.0121461814269423,0.0138147094957946,0.00774838583883829,0.00332646677270532,0.0624856948852539,0.0591592281125486,1.79351875814639,3.54037366379844,0.000151895358327904
"Intensity_MeanIntensityEdge_Rhodamine",54,5710,0.00643149567641066,0.00219026765760955,0.00600622816730344,0.00618138688345899,0.00197033516184439,0.00319331842158071,0.0319746701295177,0.028781351707937,1.57230840010293,6.04244146637862,2.89853891932614e-05
"Intensity_MeanIntensity_Rhodamine",55,5710,0.00952155293540291,0.00557263787086438,0.00804982234604309,0.00862218561695973,0.00397392879904652,0.00320456353017318,0.0501814536905537,0.0469768901603805,2.17690607515999,7.01520906717122,7.37467299756413e-05
"Intensity_MedianIntensity_Rhodamine",56,5710,0.00933957842118294,0.00559558035284722,0.00787365529686213,0.00841289548869628,0.00380066834427416,0.00320439459756017,0.0624856948852539,0.0592813002876937,2.44448428098123,9.4424315711861,7.40503443613178e-05
"Intensity_MinIntensityEdge_Rhodamine",57,5710,0.00599172896348371,0.00189449201081523,0.00563057931140065,0.00578301575180835,0.00174197264593095,0.00312809948809445,0.0195773243904114,0.0164492249023169,1.28659060065565,2.7961737951949,2.50711770619556e-05
"Intensity_MinIntensity_Rhodamine",58,5710,0.00589231550057407,0.00186567030739827,0.00555428396910429,0.00568223205001963,0.00167410391354933,0.00309758144430816,0.0195773243904114,0.0164797429461032,1.32980221950868,2.99095243655227,2.46897587052307e-05
"Intensity_StdIntensityEdge_Rhodamine",59,5710,0.000203043501668892,0.000200074953109796,0.000151376338209644,0.000171337570101548,0.000114717097350855,1.99278294963369e-05,0.00668339586030649,0.00666346803081015,8.87740732073386,216.454322576491,2.64773593472144e-06
"Intensity_StdIntensity_Rhodamine",60,5710,0.00211686885369784,0.0022916313050134,0.00135469022203508,0.00168261797240058,0.00130699669790276,2.87143534653318e-05,0.0186238605190979,0.0185951461656326,2.48674660450783,8.52535034984299,3.03268073344835e-05
"Intensity_UpperQuartileIntensity_Rhodamine",61,5710,0.0109801704616118,0.00727687976403488,0.00894941668957472,0.00975253438967893,0.00487526224516332,0.00321965361945331,0.0624856948852539,0.0592660412658006,2.40632510023899,8.68877162059841,9.63001902257555e-05
"Math_AreaSquareMicron",62,5710,314.553609303187,211.325046860853,274.622699804151,288.167242669989,196.114808181734,51.5023931462807,1273.6303557776,1222.12796263132,1.23580809055091,1.83664787653323,2.79661652687289
"Math_AspectRatio",63,5710,1.94137428616024,0.921646370789314,1.77366325286456,1.83273836348584,0.495590876172238,1.04910015549553,39.6440923610972,38.5949922056017,15.8852628192451,538.45948201255,0.0121968101309778
"Math_BeadAreaEquiv",64,5710,9.90688068764826,7.27129166629484,8.44086809815036,8.92849578934888,5.2865300250122,0.591475130040221,76.6436123700184,76.0521372399781,1.84146151603918,5.94933790193578,0.0962262389041979
"Math_MaxFeretMicron",65,5710,28.858623335403,10.6695134819841,28.4913734217488,28.208858165731,10.0167913868256,9.01513804348498,110.342462324536,101.327324281051,0.921054090296475,2.39804216082463,0.141197355356826
"Math_MinFeretMicron",66,5710,15.7341134444475,6.02346069733846,15.0485436893206,15.2418095394204,5.71844103140011,2.78332673931552,49.1745320719168,46.3912053326013,0.809719610171305,0.777980837418766,0.0797127930899636
"Parent_Spindles",67,5710,1.87443082311734,1.23240582595243,1,1.62302977232925,0,1,11,10,1.94111913722804,4.9596119674025,0.0163093137887361
"Euclidian_norm_centers",68,5710,13.1345936518018,14.9320275237704,7.96901402236793,10.1074843139835,7.25345198599095,0.0251590461159916,171.930819965631,171.905660919515,2.83894367246585,11.8705998808335,0.19760627324121
